,Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Revenue,Order_Date,Sales_Channel,Region,Profit,%_pricepaid,Discount%,Cost_Price,Profit/Loss_%
211,2000,Kids,Training,Metcon 7,9,4,5817.695,21874.533199999998,27-02-2024,Retail,bengaluru,2372.82,0.94,6.000000000000005,19501.7132,12.167238722390811
0,2000,Kids,Training,SuperRep Go,8,3,4912.45,6926.554499999999,09-03-2024,Online,bengaluru,-770.45,0.47,53.0,7697.004499999999,-10.009738203998714
121,2000,Kids,Running,React Infinity,8,1,6070.1900000000005,4067.0272999999997,20-11-2023,Retail,Kolkata,929.75,0.6699999999999999,33.00000000000001,3137.2772999999997,29.635569670554784
1,2001,Women,Soccer,Tiempo Legend,8,3,4957.93,8849.90505,09-07-2024,Retail,Hyd,-112.53,0.595,40.5,8962.43505,-1.2555739525275555
1205,2002,Women,Lifestyle,Dunk Low,7,2,4722.755,2266.9224,11-12-2024,Online,Delhi,912.61,0.24,76.0,1354.3123999999998,67.38548653914711
1522,2002,Women,Basketball,Zoom Freak,8,3,9041.15,11934.318,31-12-2024,Retail,Kolkata,1597.12,0.44,56.00000000000001,10337.198,15.450221617115197
1945,2002,Kids,Soccer,Phantom GT,12,2,6466.57,8859.2009,16-05-2025,Online,Delhi,-789.24,0.685,31.499999999999993,9648.4409,-8.179974445404957
40,2002,Women,Basketball,Zoom Freak,12,3,5075.22,10657.962,03-07-2025,Retail,Delhi,145.08,0.7,30.000000000000004,10512.882,1.380021196851634
391,2002,Women,Training,ZoomX Invincible,12,4,6820.42,15141.3324,03-10-2024,Retail,Kolkata,3842.85,0.5549999999999999,44.50000000000001,11298.482399999999,34.01208997767701
2,2002,Women,Soccer,Premier III,8,4,5255.98,12509.232399999999,31-12-2024,Retail,Mumbai,3337.34,0.595,40.5,9171.892399999999,36.386602180374474
2329,2003,Men,Lifestyle,Blazer Mid,8,3,4936.545,5331.4686,16-08-2024,Retail,Delhi,1884.04,0.36,64.0,3447.4286,54.65058797736957
2045,2003,Women,Soccer,Premier III,10,1,5255.98,2943.3488,03-08-2024,Online,Kolkata,2353.41,0.56,43.99999999999999,589.9388000000004,398.92443080536464
1949,2003,Women,Lifestyle,Waffle One,9,2,7203.25,10804.875,03-03-2025,Online,Kolkata,-23.38,0.75,25.0,10828.255,-0.21591659967372398
743,2003,Women,Training,ZoomX Invincible,12,4,7850.87,32031.5496,01-04-2025,Online,Kolkata,992.14,1.02,-2.0000000000000018,31039.4096,3.196388116866759
448,2003,Women,Lifestyle,Waffle One,12,2,8516.45,3747.2380000000003,30-09-2023,Online,Kolkata,1764.52,0.22,78.0,1982.7180000000003,88.99500584551105
3,2003,Kids,Lifestyle,Blazer Mid,10,3,9673.57,17557.52955,10-04-2024,Online,Pune,3376.85,0.605,39.5,14180.679549999999,23.813033699079675
383,2004,Women,Basketball,LeBron 20,10,1,3272.45,2290.7149999999997,28-02-2025,Online,Kolkata,69.68,0.7,30.000000000000004,2221.035,3.1372760897509497
1461,2004,Kids,Running,Free RN,10,1,5691.68,3813.4255999999996,31-12-2024,Online,Hyd,2588.88,0.6699999999999999,33.00000000000001,1224.5455999999995,211.4155650879805
309,2004,Kids,Lifestyle,Dunk Low,8,2,6122.674999999999,7347.209999999999,23-02-2025,Retail,bengaluru,-276.83,0.6,40.0,7624.039999999999,-3.631014527730705
4,2004,Kids,Running,React Infinity,12,2,6070.1900000000005,8134.0545999999995,12-09-2024,Retail,Delhi,187.89,0.6699999999999999,33.00000000000001,7946.164599999999,2.364536974227793
5,2005,Women,Training,Flex Trainer,8,1,7363.96,4086.9977999999996,31-12-2024,Retail,Delhi,1415.98,0.5549999999999999,44.50000000000001,2671.0177999999996,53.012750420457714
901,2005,Kids,Soccer,Mercurial Superfly,10,3,9794.84,20128.396200000003,31-12-2024,Retail,Hyd,2253.08,0.685,31.499999999999993,17875.3162,12.60442039061664
1266,2006,Kids,Training,Flex Trainer,7,3,6295.0,10953.3,31-12-2024,Retail,Delhi,-573.18,0.58,42.00000000000001,11526.48,-4.972723676265433
925,2006,Men,Lifestyle,Waffle One,12,4,6064.42,17708.1064,31-12-2024,Online,Hyd,2936.55,0.73,27.0,14771.556400000001,19.879760266832815
900,2006,Men,Lifestyle,Waffle One,12,2,6147.51,8975.3646,26-09-2023,Retail,Mumbai,-716.79,0.73,27.0,9692.154600000002,-7.395569195728675
374,2006,Women,Basketball,Zoom Freak,10,1,8799.22,6159.453999999999,13-08-2023,Retail,Bangalore,-1109.57,0.7,30.000000000000004,7269.0239999999985,-15.264360112169118
6,2006,Men,Training,SuperRep Go,8,3,6819.78,10741.1535,06-04-2025,Online,Bangalore,1802.09,0.525,47.5,8939.0635,20.15971807337536
7,2007,Kids,Training,SuperRep Go,8,1,4912.45,1571.984,31-12-2024,Retail,Bangalore,2928.36,0.32,68.0,-1356.3760000000002,-215.8958872760945
2424,2007,Men,Soccer,Phantom GT,10,2,7652.31,11095.8495,29-09-2023,Retail,Bangalore,1515.95,0.725,27.500000000000004,9579.8995,15.824278741128758
2355,2007,Kids,Basketball,LeBron 20,7,2,6329.6,8355.072,31-12-2024,Retail,Kolkata,1779.99,0.66,34.0,6575.082,27.07175362984066
8,2008,Women,Soccer,Premier III,11,1,5255.98,3127.3080999999997,10-11-2024,Online,Hyderabad,-731.18,0.595,40.5,3858.4880999999996,-18.94990942177585
849,2008,Men,Running,Air Zoom,12,2,4854.18,5388.1398,25-07-2024,Retail,Mumbai,-639.42,0.5549999999999999,44.50000000000001,6027.5598,-10.60827301953935
2342,2009,Kids,Running,Pegasus Turbo,10,2,5374.34,9028.8912,22-11-2023,Retail,Delhi,1671.62,0.84,16.000000000000004,7357.2712,22.72065218963248
9,2009,Men,Soccer,Mercurial Superfly,8,4,7150.045,20735.1305,31-12-2024,Online,Pune,3929.61,0.725,27.500000000000004,16805.5205,23.382852081255088
