Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Revenue,Order_Date,Sales_Channel,Region,Profit,%_pricepaid,Discount%,Cost_Price,Profit/Loss_%,Year,Month,Quarter
2000,Kids,Training,Metcon 7,9,4,5817.695,21874.533199999998,2024-02-27,Retail,Bangalore,2372.82,0.94,6.000000000000005,19501.7132,12.167238722390811,2024,2,1
2000,Kids,Training,SuperRep Go,8,3,4912.45,6926.554499999999,2024-03-09,Online,Bangalore,-770.45,0.47,53.0,7697.004499999999,-10.009738203998714,2024,3,1
2000,Kids,Running,React Infinity,8,1,6070.1900000000005,4067.0272999999997,2023-11-20,Retail,Kolkata,929.75,0.6699999999999999,33.00000000000001,3137.2772999999997,29.635569670554784,2023,11,4
2001,Women,Soccer,Tiempo Legend,8,3,4957.93,8849.90505,2024-07-09,Retail,Hyderabad,-112.53,0.595,40.5,8962.43505,-1.2555739525275555,2024,7,3
2002,Women,Lifestyle,Dunk Low,7,2,4722.755,2266.9224,2024-12-11,Online,Delhi,912.61,0.24,76.0,1354.3123999999998,67.38548653914711,2024,12,4
2002,Women,Basketball,Zoom Freak,8,3,9041.15,11934.318,2024-12-31,Retail,Kolkata,1597.12,0.44,56.00000000000001,10337.198,15.450221617115197,2024,12,4
2002,Kids,Soccer,Phantom GT,12,2,6466.57,8859.2009,2025-05-16,Online,Delhi,-789.24,0.685,31.499999999999993,9648.4409,-8.179974445404957,2025,5,2
2002,Women,Basketball,Zoom Freak,12,3,5075.22,10657.962,2025-07-03,Retail,Delhi,145.08,0.7,30.000000000000004,10512.882,1.380021196851634,2025,7,3
2002,Women,Training,ZoomX Invincible,12,4,6820.42,15141.3324,2024-10-03,Retail,Kolkata,3842.85,0.5549999999999999,44.50000000000001,11298.482399999999,34.01208997767701,2024,10,4
2002,Women,Soccer,Premier III,8,4,5255.98,12509.232399999999,2024-12-31,Retail,Mumbai,3337.34,0.595,40.5,9171.892399999999,36.386602180374474,2024,12,4
2003,Men,Lifestyle,Blazer Mid,8,3,4936.545,5331.4686,2024-08-16,Retail,Delhi,1884.04,0.36,64.0,3447.4286,54.65058797736957,2024,8,3
2003,Women,Soccer,Premier III,10,1,5255.98,2943.3488,2024-08-03,Online,Kolkata,2353.41,0.56,43.99999999999999,589.9388000000004,398.92443080536464,2024,8,3
2003,Women,Lifestyle,Waffle One,9,2,7203.25,10804.875,2025-03-03,Online,Kolkata,-23.38,0.75,25.0,10828.255,-0.21591659967372398,2025,3,1
2003,Women,Training,ZoomX Invincible,12,4,7850.87,32031.5496,2025-04-01,Online,Kolkata,992.14,1.02,-2.0000000000000018,31039.4096,3.196388116866759,2025,4,2
2003,Women,Lifestyle,Waffle One,12,2,8516.45,3747.2380000000003,2023-09-30,Online,Kolkata,1764.52,0.22,78.0,1982.7180000000003,88.99500584551105,2023,9,3
2003,Kids,Lifestyle,Blazer Mid,10,3,9673.57,17557.52955,2024-04-10,Online,Pune,3376.85,0.605,39.5,14180.679549999999,23.813033699079675,2024,4,2
2004,Women,Basketball,LeBron 20,10,1,3272.45,2290.7149999999997,2025-02-28,Online,Kolkata,69.68,0.7,30.000000000000004,2221.035,3.1372760897509497,2025,2,1
